Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
181,"I Ducassy, S Montandrau","Corporate social performance, ownership structure, and corporate governance in France",2015,Research in International Business and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0275531915000070,"https://scholar.google.com/scholar?cites=7595272255310184735&as_sdt=2005&sciodt=0,5&hl=en",2,23/03/2024 21:36,,,,,,,,,181,20.11,91,2,9,"Empirical evidence of the influence of shareholders and governance practices on corporate social responsibility (CSR) policies is mixed, and most studies have been conducted in the …",,"https://scholar.google.com/scholar?q=related:H8Ek7t_TZ2kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
150,M Benlemlih,Corporate social responsibility and dividend policy,2019,Research in International Business and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0275531918301685,"https://scholar.google.com/scholar?cites=5504142506643229457&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:49,,,,,,,,,150,30.0,150,1,5,"Using a sample of 22,839 US firm-year observations over the 1991–2012 period, we find that high CSR firms pay more dividends than low CSR firms. The analysis of individual …",,"https://scholar.google.com/scholar?q=related:EQuZlXKkYkwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
62,S Sheikh,Corporate social responsibility and firm leverage: The impact of market competition,2019,Research in International Business and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0275531918304483,"https://scholar.google.com/scholar?cites=9114331295800105902&as_sdt=2005&sciodt=0,5&hl=en",6,23/03/2024 21:49,,,,,,,,,62,12.4,62,1,5,This study examines the impact of market competition on the relation between CSR and firm leverage. Empirical results indicate that CSR is negatively associated with both book …,https://www.dianathesab.com/Portals/0/Arshad/Accepted%20Manuscript.pdf,"https://scholar.google.com/scholar?q=related:rhtkEwacfH4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"X Chen, B Li, AC Worthington",Higher moments and US industry returns: realized skewness and kurtosis,2021,Review of Accounting and Finance,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/RAF-06-2020-0171/full/html,"https://scholar.google.com/scholar?cites=12196666041593764710&as_sdt=2005&sciodt=0,5&hl=en",9,07/04/2024 15:24,,10.1108/RAF-06-2020-0171,,,,,,,8,2.67,3,3,3,Purpose The purpose of this paper is to examine the relationships between the higher moments of returns (realized skewness and kurtosis) and subsequent returns at the industry …,,"https://scholar.google.com/scholar?q=related:ZhtE5SRDQ6kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
75,M Humphery-Jenner,"Private equity fund size, investment size, and value creation",2012,Review of Finance,academic.oup.com,https://academic.oup.com/rof/article-abstract/16/3/799/1590806,"https://scholar.google.com/scholar?cites=14046472742080325645&as_sdt=2005&sciodt=0,5&hl=en",25,23/03/2024 21:21,,,,,,,,,75,6.25,75,1,12,This paper examines why large private equity (PE) funds earn lower returns. The article argues that large PE funds are suited to making large investments and small PE funds are …,,"https://scholar.google.com/scholar?q=related:DajnmokY78IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
35,"AK Achleitner, N Engel, U Reiner",The performance of venture capital investments: Do investors overreact?,2013,Review of Financial Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S1058330012000511,"https://scholar.google.com/scholar?cites=2738908836360011344&as_sdt=2005&sciodt=0,5&hl=en",32,23/03/2024 21:21,,,,,,,,,35,3.18,12,3,11,"Using a unique proprietary data set of over 5400 realized and unrealized venture capital investments between 1980 and 2005, we examine the impact of demand-related factors, eg …",,"https://scholar.google.com/scholar?q=related:UL5qRxOPAiYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
53,"R Chaudhuri, M Schroder",Monotonicity of the stochastic discount factor and expected option returns,2015,Review of Financial Studies,academic.oup.com,https://academic.oup.com/rfs/article-abstract/28/5/1462/1867968,"https://scholar.google.com/scholar?cites=8194274017146917605&as_sdt=2005&sciodt=0,5&hl=en",6,23/03/2024 21:37,,,,,,,,,53,5.89,27,2,9,"Evidence shows that the stochastic discount factor (SDF) is not always a downward-sloping function of S&P 500 returns when estimated using options data. In contrast, our results …",https://pages.stern.nyu.edu/~dbackus/GE_asset_pricing/disasters/ChaudhuriSchroder%20options%20Feb%2009.PDF,"https://scholar.google.com/scholar?q=related:5VJBsM3ot3EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"B Mögel, BR Auer",How accurate are modern Value-at-Risk estimators derived from extreme value theory?,2018,Review of Quantitative Finance and Accounting,Springer,https://link.springer.com/article/10.1007/s11156-017-0652-y,"https://scholar.google.com/scholar?cites=4350274507665263663&as_sdt=2005&sciodt=0,5&hl=en",16,23/03/2024 21:43,,10.1007/s11156-017-0652-y,,,,,,,17,2.83,9,2,6,"In this study, we compare the out-of-sample forecasting performance of several modern Value-at-Risk (VaR) estimators derived from extreme value theory (EVT). Specifically, in a …",,"https://scholar.google.com/scholar?q=related:L0zTsJ1HXzwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
19,"R Dang 1, LC Vo 2",The influence of top management team characteristics on the presence of women on corporate board,2014,Revue Management et Avenir,cairn.info,https://www.cairn.info/revue-management-et-avenir-2014-5-page-91.htm,"https://scholar.google.com/scholar?cites=6570360338876195868&as_sdt=2005&sciodt=0,5&hl=en",12,07/04/2024 16:19,HTML,,,,,,,,19,1.9,10,2,10,"In recent years, gender diversity in the boardroom and more generally within organization has gained considerable interest in public debate, academic research, and corporate …",https://www.cairn.info/revue-management-et-avenir-2014-5-page-91.htm,"https://scholar.google.com/scholar?q=related:HOQHveqbLlsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"MH Broihanne, G Capelle-Blancard",Richard Thaler ou comment la finance est devenue comportementale,2018,Revue d'Economie Politique,cairn.info,https://www.cairn.info/revue-d-economie-politique-2018-4-page-549.htm,"https://scholar.google.com/scholar?cites=11272762487711533945&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 15:24,HTML,,,,,,,,6,1.0,3,2,6,"Richard Thaler est un économiste de tout premier plan, un chercheur audacieux et original. Professeur à Chicago, temple de l'orthodoxie économique, là-même où Milton Friedman et …",https://www.cairn.info/revue-d-economie-politique-2018-4-page-549.htm,"https://scholar.google.com/scholar?q=related:eQtlxcHlcJwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
67,"E Eckhaus, Z Sheaffer",Managerial hubris detection: the case of Enron,2018,Risk Management,Springer,https://link.springer.com/article/10.1057/s41283-018-0037-0,"https://scholar.google.com/scholar?cites=364501597994099599&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:20,,10.1057/s41283-018-0037-0,,,,,,,67,11.17,34,2,6,"Hubris is a known risk for leadership failure. We show that hubristic tendencies can be detected semantically ex-ante in textual reports, and offer a novel methodology aimed at …",https://www.researchgate.net/profile/Zachary-Sheaffer/publication/324433070_Managerial_hubris_detection_the_case_of_Enron/links/5c6f81f8a6fdcc471591a979/Managerial-hubris-detection-the-case-of-Enron.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail,"https://scholar.google.com/scholar?q=related:jyOArEX4DgUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,?? ????????,????? ??? ????????? ?????? ? ???????? ???????????????????,2020,Russian Journal of Economics and Law,cyberleninka.ru,https://cyberleninka.ru/article/n/audit-mer-podderzhki-malogo-i-srednego-predprinimatelstva,"https://scholar.google.com/scholar?cites=9004727159036301198&as_sdt=2005&sciodt=0,5&hl=en",5,07/04/2024 15:21,HTML,,,,,,,,21,5.25,21,1,4,"????: ???????????? ???????? ??????? ????????????????-????????? ?????????, ?????????????? ??????????? ?????????? ??? ????????? ????????? ?????? ? …",https://cyberleninka.ru/article/n/audit-mer-podderzhki-malogo-i-srednego-predprinimatelstva,"https://scholar.google.com/scholar?q=related:js-rXaQ393wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,"SM Pesenti, S Jaimungal",Portfolio optimization within a Wasserstein ball,2023,SIAM Journal on Financial Mathematics,SIAM,https://epubs.siam.org/doi/abs/10.1137/22M1496803,"https://scholar.google.com/scholar?cites=2570648612937622885&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:37,,10.1137/22M1496803,,,,,,,21,21.0,11,2,1,"We study the problem of active portfolio management where an investor aims to outperform a benchmark strategy's risk profile while not deviating too far from it. Specifically, an investor …",https://arxiv.org/pdf/2012.04500,"https://scholar.google.com/scholar?q=related:ZWV_KEvHrCMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
38,"MH Nguyen, TH Pham, MT Ho, HTT Nguyen, ...",On the social and conceptual structure of the 50-year research landscape in entrepreneurial finance,2021,SN Business & Economics,Springer,https://link.springer.com/article/10.1007/s43546-020-00002-z,"https://scholar.google.com/scholar?cites=15500902032040694308&as_sdt=2005&sciodt=0,5&hl=en",2,23/03/2024 21:21,HTML,10.1007/s43546-020-00002-z,,,,,,,38,12.67,8,5,3,"In recent decades, drastic changes in global social-economic situations have led to significant shifts in the financial market for entrepreneurial firms, thus resulting in changes in …",https://link.springer.com/article/10.1007/s43546-020-00002-z,"https://scholar.google.com/scholar?q=related:JJLqVUVEHtcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"C Bernard, M Kwak",Dynamic preferences for popular investment strategies in pension funds,2016,Scandinavian Actuarial Journal,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/03461238.2014.954606,"https://scholar.google.com/scholar?cites=13724582338500981031&as_sdt=2005&sciodt=0,5&hl=en",10,23/03/2024 21:37,,10.1080/03461238.2014.954606,,,,,,,30,3.75,15,2,8,"In this paper, we characterize dynamic investment strategies that are consistent with the expected utility setting and more generally with the forward utility setting. Two popular …",http://www.carole.bernard.free.fr/slides/CBernard_Paris_workshop_Pensions.pdf,"https://scholar.google.com/scholar?q=related:J3HzwOuCd74J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"E Poutsma, PEM Ligthart…",Employee ownership and high-performance work systems in context,2017,Sharing in the Company,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/S0885-33392016000017004,"https://scholar.google.com/scholar?cites=5178046921164834577&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:25,,10.1108/S0885-33392016000017004,,,,,,,14,2.0,5,3,7,This chapter addresses employee ownership within a strategic human resource management (SHRM) framework that has gained increased attention. The study extends the …,,"https://scholar.google.com/scholar?q=related:EcdVhj0e3EcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
46,"T Standaert, S Manigart",Government as fund-of-fund and VC fund sponsors: effect on employment in portfolio companies,2018,Small Business Economics,Springer,https://link.springer.com/article/10.1007/s11187-016-9831-9,"https://scholar.google.com/scholar?cites=12612106024914457341&as_sdt=2005&sciodt=0,5&hl=en",22,23/03/2024 21:21,,10.1007/s11187-016-9831-9,,,,,,,46,7.67,23,2,6,"Governments around the world have set up fund-of-fund programs to increase the supply of venture capital financing to young growth-oriented firms. In these programs, a government …",https://www.researchgate.net/profile/Sophie-Manigart/publication/312522235_Government_as_fund-of-fund_and_venture_capital_fund_sponsors_effect_on_employment_in_portfolio_companies/links/5a68a562aca272de02f58390/Government-as-fund-of-fund-and-venture-capital-fund-sponsors-effect-on-employment-in-portfolio-companies.pdf,"https://scholar.google.com/scholar?q=related:_RKXnJszB68J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"SF Shah, MT Alshurideh, A Al-Dmour…",Understanding the influences of cognitive biases on financial decision making during normal and COVID-19 pandemic situation in the United Arab Emirates,2021,The Effect of Coronavirus Disease (COVID-19) on Business Intelligence,Springer,https://link.springer.com/chapter/10.1007/978-3-030-67151-8_15,"https://scholar.google.com/scholar?cites=9441610293871736134&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:20,,10.1007/978-3-030-67151-8_15,,,,,,,26,8.67,7,4,3,"The purpose of the study is to identify the effects of behavioral/psychological factors ie overconfidence, anchoring bias, loss aversion, herding effect on financial decision making …",https://www.academia.edu/download/66190745/Springer_Book_Chapter_.pdf,"https://scholar.google.com/scholar?q=related:RnXl2YlWB4MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
102,"L Ballotta, E Bonfiglioli",Multivariate asset models using Lévy processes and applications,2016,The European Journal of Finance,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2013.870917,"https://scholar.google.com/scholar?cites=14392047445612040004&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,10.1080/1351847X.2013.870917,,,,,,,102,12.75,51,2,8,"In this paper, we propose a multivariate asset model based on Lévy processes for pricing of products written on more than one underlying asset. Our construction is based on a two …",https://openaccess.city.ac.uk/id/eprint/3936/1/,"https://scholar.google.com/scholar?q=related:RA9GQubSuscJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
52,"R Gemayel, A Preda",Does a scopic regime produce conformism? Herding behavior among trade leaders on social trading platforms,2018,The European Journal of Finance,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2017.1405832,"https://scholar.google.com/scholar?cites=17043603048684662032&as_sdt=2005&sciodt=0,5&hl=en",12,23/03/2024 21:34,,10.1080/1351847X.2017.1405832,,,,,,,52,8.67,26,2,6,"Social trading platforms (STPs) are transparent online markets governed by a scopic regime, where order flow is publicly disclosed and participants are subject to constant reciprocal …",https://core.ac.uk/download/pdf/156786222.pdf,"https://scholar.google.com/scholar?q=related:EC2dAawKh-wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"J Fletcher, K Paudyal, T Santoso",Exploring the benefits of international government bond portfolio diversification strategies,2019,The European Journal of Finance,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2018.1450279,"https://scholar.google.com/scholar?cites=5125034833150495715&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 15:20,,10.1080/1351847X.2018.1450279,,,,,,,10,2.0,3,3,5,We use the Bayesian approach of Wang (1998) to examine the diversification benefits of investing in international government bonds. We find that no short-selling constraints …,https://strathprints.strath.ac.uk/63444/1/Fletcher_etal_EJF_2018_Exploring_the_benefits_of_international_government_bond_portfolio.pdf,"https://scholar.google.com/scholar?q=related:40tw8wbIH0cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
66,"DW Richards, J Rutterford, D Kodwani, ...",Stock market investors' use of stop losses and the disposition effect,2017,The European Journal of Finance ,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2015.1048375,"https://scholar.google.com/scholar?cites=16113343566968938801&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:50,,10.1080/1351847X.2015.1048375,,,,,,,66,9.43,17,4,7,The disposition effect is an investment bias where investors hold stocks at a loss longer than stocks at a gain. This bias is associated with poorer investment performance and exhibited …,https://oro.open.ac.uk/44069/1/stoplosses-prepub.pdf,"https://scholar.google.com/scholar?q=related:MWECHZoYnt8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
31,"F Bostanci, S Kilic",The Effects of free float ratios on market performance: an empirical study on the Istanbul Stock Exchange,2010,The ISE Review,academia.edu,https://www.academia.edu/download/82702655/m6en.pdf,"https://scholar.google.com/scholar?cites=7510171652046332950&as_sdt=2005&sciodt=0,5&hl=en",15,23/03/2024 21:36,PDF,,,,,,,,31,2.21,16,2,14,This study aims to examine the effects of free float ratios (ie the quantity of shares available to public) on market performance of stocks in Turkey. The data contains 199 listed firms on …,https://www.academia.edu/download/82702655/m6en.pdf,"https://scholar.google.com/scholar?q=related:FiRuslN9OWgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"MA Mia, A Ahmed, AHM Nomon",Financing structure of microfinance institutions: Evidence from Bangladesh,2021,The Journal of Developing Areas,muse.jhu.edu,https://muse.jhu.edu/pub/51/article/766447/summary,"https://scholar.google.com/scholar?cites=4208351776309456453&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 15:21,,,,,,,,,7,2.33,2,3,3,"Globally, the landscape of microfinance has changed by the competitive business environment including the sources of funds. To meet capital requirements, microfinance …",,"https://scholar.google.com/scholar?q=related:RS7PzKQRZzoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"A Graham, J Pal",Backtesting value-at-risk tail losses on a dynamic portfolio,2014,The Journal of Risk Model Validation,search.proquest.com,https://search.proquest.com/openview/b2561f5ab593da1bcdc865cd9b8744a6/1?pq-origsite=gscholar&cbl=50661,"https://scholar.google.com/scholar?cites=11383448345300764158&as_sdt=2005&sciodt=0,5&hl=en",23,23/03/2024 21:43,,,,,,,,,15,1.5,8,2,10,"Backtesting is an essential component of the implementation and operation of any risk model. As perhaps the most well-known market risk metric, value-at-risk (VaR) has received …",,"https://scholar.google.com/scholar?q=related:_gWpPPUh-p0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,RN Killins,"Firm-specific, industry-specific and macroeconomic factors of life insurers' profitability: Evidence from Canada",2020,The North American Journal of Economics and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S1062940819300713,"https://scholar.google.com/scholar?cites=2994754711930327214&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:24,,,,,,,,,58,14.5,58,1,4,"The purpose of this study is to examine the effects of firm-specific, industry-specific and macroeconomic factors on the performance of life insurance firms. This study focuses on the …",,"https://scholar.google.com/scholar?q=related:rtAIKouBjykJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"D Ye, S Pan, Y Lian, YK Ng",Culture and savings: why do asians save more?,2021,The Singapore Economic Review,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S0217590819500607,"https://scholar.google.com/scholar?cites=13372558545793626338&as_sdt=2005&sciodt=0,5&hl=en",10,23/03/2024 21:38,,10.1142/S0217590819500607,,,,,,,14,4.67,4,4,3,"It is a basic consensus that culture affects savings, but the empirical evidence is inadequate. This paper investigates the relationship between culture and savings by using the Hofstede …",,"https://scholar.google.com/scholar?q=related:4rAkhCXflLkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
66,"JG Streletzki, R Schulte",Which venture capital selection criteria distinguish high-flyer investments?,2013,Venture Capital,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13691066.2012.724232,"https://scholar.google.com/scholar?cites=13227619951929096593&as_sdt=2005&sciodt=0,5&hl=en",21,23/03/2024 21:21,,10.1080/13691066.2012.724232,,,,,,,66,6.0,33,2,11,This study is based on an analysis of 64 ventures that were funded by German Venture Capital (VC) firms in order to identify VC selection criteria that distinguish non-high-flyer exits …,,"https://scholar.google.com/scholar?q=related:kXmaakPykbcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"AL Le Nadant, F Perdreau, H Bruining",Industry specialization of private equity firms: a source of buy-out performance heterogeneity,2018,Venture Capital,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13691066.2017.1422424,"https://scholar.google.com/scholar?cites=17443272340885810813&as_sdt=2005&sciodt=0,5&hl=en",6,23/03/2024 21:50,,10.1080/13691066.2017.1422424,,,,,,,18,3.0,6,3,6,This study sheds new light on the industry specialization of private equity (PE) firms as a source of buy-outs' performance and on the conditions under which these firms can add …,https://pure.eur.nl/files/48033551/REPUB_104311.pdf,"https://scholar.google.com/scholar?q=related:fS7ljsbzEvIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
44,A Schwienbacher,Venture capital exits,2010,"Venture Capital: Investment Strategies, Structures, and Policies",books.google.com,https://books.google.com/books?hl=en&lr=&id=Jjl7l5hTGtIC&oi=fnd&pg=PA389&ots=6-w_417jQh&sig=68bcSA7PZ6wm3b5Pa64LazK7TL0,"https://scholar.google.com/scholar?cites=1618479817696525053&as_sdt=2005&sciodt=0,5&hl=en",34,23/03/2024 21:21,,,,,,,,,44,3.14,44,1,14,"Venture capital has become an important source of funding in the economy, in particular because it finances new companies that may not get money otherwise. Although we lack …",,"https://scholar.google.com/scholar?q=related:_brwsdH-dRYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
73,"M Brière, A Szafarz",Does commercial microfinance belong to the financial sector? Lessons from the stock market,2015,World Development,Elsevier,https://www.sciencedirect.com/science/article/pii/S0305750X14003015,"https://scholar.google.com/scholar?cites=16394399537167892247&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:20,,,,,,,,,73,8.11,37,2,9,This paper is the first to draw a global picture of worldwide microfinance equity by taking full advantage of daily quoted prices. We revisit previous findings showing that investors should …,https://hal.science/hal-01491987/document,"https://scholar.google.com/scholar?q=related:F3-4joSbhOMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
