Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"PT Komalasari, M Asri, BM Purwanto, ...",Herding behaviour in the capital market: what do we know and what is next?,2022,Management Review Quarterly,Springer,https://link.springer.com/article/10.1007/s11301-021-00212-1,"https://scholar.google.com/scholar?cites=6263071328288331150&as_sdt=2005&sciodt=0,5&hl=en",2,23/03/2024 21:34,,10.1007/s11301-021-00212-1,,,,,,,17,8.5,4,4,2,Herding behaviour in the financial market has been popular as a theoretical concept since the 1990s. Many articles have studied and discussed herding behaviour in the capital …,,"https://scholar.google.com/scholar?q=related:jlWPnTDm6lYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,M Pleßner,The disposition effect: a survey,2017,Management Review Quarterly,Springer,https://link.springer.com/article/10.1007/s11301-017-0122-6,"https://scholar.google.com/scholar?cites=680469200459945995&as_sdt=2005&sciodt=0,5&hl=en",10,23/03/2024 21:50,,10.1007/s11301-017-0122-6,,,,,,,12,1.71,12,1,7,The disposition effect is a well-recognized behavioral economic phenomenon which has been studied in numerous papers during the last three decades. Besides a literature review …,,"https://scholar.google.com/scholar?q=related:C1gC7iGDcQkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
175,"C Marquardt, E Zur",The role of accounting quality in the M&A market,2015,Management Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2013.1873,"https://scholar.google.com/scholar?cites=14056816481545832733&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:23,,10.1287/mnsc.2013.1873,,,,,,,175,19.44,88,2,9,We examine the role of target firms' accounting quality in the merger and acquisition process. We predict that target firm accounting quality will be positively associated with (1) …,,"https://scholar.google.com/scholar?q=related:HUllHx3YE8MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
40,"A Ajina, F Lakhal, S Ayed",Does corporate social responsibility reduce earnings management? The moderating role of corporate governance and ownership,2019,Management international,erudit.org,https://www.erudit.org/en/journals/mi/2019-v23-n2-mi04616/1060030ar/abstract/,"https://scholar.google.com/scholar?cites=8940663005503700584&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 16:19,,,,,,,,,40,8.0,13,3,5,The purpose of this paper is to investigate the relationship between corporate social responsibility and earnings management and the moderating effect of corporate governance …,https://www.erudit.org/en/journals/mi/2019-v23-n2-mi04616/1060030ar.pdf,"https://scholar.google.com/scholar?q=related:aD6GQ6KdE3wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
50,"M Samet, A Jarboui",Corporate social responsibility and payout decisions,2017,Managerial Finance,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/MF-01-2017-0020/full/html,"https://scholar.google.com/scholar?cites=12912974318339003541&as_sdt=2005&sciodt=0,5&hl=en",12,23/03/2024 21:49,,10.1108/MF-01-2017-0020,,,,,,,50,7.14,25,2,7,"Purpose The purpose of this paper is to investigate whether and how corporate social responsibility (CSR) performance contributes to shape firms' payout policy. In particular, it …",http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3514.pdf,"https://scholar.google.com/scholar?q=related:lZRWBroZNLMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,M Adusei,The liquidity risk–financial performance nexus: Evidence from hybrid financial institutions,2022,Managerial and Decision Economics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/mde.3357,"https://scholar.google.com/scholar?cites=6224388650832672734&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 15:22,,10.1002/mde.3357,,,,,,,23,11.5,23,1,2,This paper uses a sample of 532 microfinance institutions (MFIs) in 73 countries to investigate the effect of liquidity risk on the financial performance of MFIs and also enquires …,https://www.academia.edu/download/81383534/LIQUIDITY_PAPER_2022.pdf,"https://scholar.google.com/scholar?q=related:3rfa7H94YVYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"BS Meiselman, S Nagel, A Purnanandam",Judging banks' risk by the profits they report,2023,NBER,nber.org,https://www.nber.org/papers/w31635,"https://scholar.google.com/scholar?cites=10721289083925080060&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,,,,,,,,58,58.0,19,3,1,"In competitive capital markets, risky debt claims that offer high yields in good times have high systematic risk exposure in bad times. We apply this idea to bank risk measurement …",https://www.nber.org/system/files/working_papers/w31635/w31635.pdf,"https://scholar.google.com/scholar?q=related:_KegNZ6ryZQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
61,A Preda,Noise: Living and trading in electronic finance,2017,Noise: Living and Trading in Electronic Finance,books.google.com,https://books.google.com/books?hl=en&lr=&id=o5UtDwAAQBAJ&oi=fnd&pg=PP8&ots=GxVoLN7UsR&sig=oEsLyNZwrm3n2vgXgy9GvipHCng,"https://scholar.google.com/scholar?cites=2267455372610929488&as_sdt=2005&sciodt=0,5&hl=en",13,23/03/2024 21:34,BOOK,,,,,,,,61,8.71,61,1,7,"Alex Preda is an ethnographer, but unlike many of his tribe, his fieldwork was done, not with the dispossessed, but with white-collar entrepreneurs. The result is an ethnography of noise …",,"https://scholar.google.com/scholar?q=related:UIOG3KWedx8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"C Bernard, M Maj, S Vanduffel",Improving the design of financial products in a multidimensional Black-Scholes market,2011,North American Actuarial Journal,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/10920277.2011.10597610,"https://scholar.google.com/scholar?cites=6896841423461307255&as_sdt=2005&sciodt=0,5&hl=en",23,23/03/2024 21:37,,10.1080/10920277.2011.10597610,,,,,,,25,1.92,8,3,13,"Using various techniques, authors have shown that in one-dimensional markets, complex (path-dependent) contracts are generally not optimal for rational consumers. In this paper …",http://www.carole.bernard.free.fr/papers/naaj-2011-vol15-no1-BernardMajVanduffel.pdf,"https://scholar.google.com/scholar?q=related:d1OczbuAtl8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
169,"W Li, G Rhee, SS Wang",Differences in herding: Individual vs. institutional investors,2017,Pacific-Basin Finance Journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0927538X16302700,"https://scholar.google.com/scholar?cites=14169958517695803428&as_sdt=2005&sciodt=0,5&hl=en",6,23/03/2024 21:34,,,,,,,,,169,24.14,56,3,7,"Using a trading volume-based measure, we study the differences between institutional and individual investors in herding. First, better-informed institutional investors trade more …",http://www2.hawaii.edu/~rheesg/Published%20Papers/2017/Differences%20in%20herding%20Individual%20vs.%20institutional%20Investors.pdf,"https://scholar.google.com/scholar?q=related:JHBHOTLOpcQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
