Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Unique ID
128,"P Crifo, VD Forget","Think global, invest responsible: Why the private equity industry goes green",2013,Journal of Business Ethics,Springer,https://link.springer.com/article/10.1007/s10551-012-1443-y,"https://scholar.google.com/scholar?cites=12924014063173389458&as_sdt=2005&sciodt=0,5&hl=en",4,23/03/2024 21:50,,10.1007/s10551-012-1443-y,,,,,,,128,11.64,64,2,11,The growth of socially responsible investment (SRI) on public financial markets has drawn considerable academic attention over the last decade. Discarding from the previous …,https://hal.science/hal-00672034/document,"https://scholar.google.com/scholar?q=related:kkya61BSW7MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",45
170,"B Jacquillat, B Solnik, C Pérignon",Marchés financiers-6e éd: Gestion de portefeuille et des risques,2014,,books.google.com,https://books.google.com/books?hl=en&lr=&id=jEsjAwAAQBAJ&oi=fnd&pg=PP3&ots=zu9lf3mnAd&sig=vEZOFU4izQy1ADdKr_5K4KfIZVk,"https://scholar.google.com/scholar?cites=17430245226739972454&as_sdt=2005&sciodt=0,5&hl=en",7,23/03/2024 21:50,BOOK,,,,,,,,170,17.0,57,3,10,"Cet ouvrage présente les concepts et les techniques modernes d'analyse des marchés financiers, leurs applications à la gestion de portefeuille et, plus globalement, à la gestion …",,"https://scholar.google.com/scholar?q=related:ZrnIL6-r5PEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",46
66,"DW Richards, J Rutterford, D Kodwani, ...",Stock market investors' use of stop losses and the disposition effect,2017,The European Journal of Finance ,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2015.1048375,"https://scholar.google.com/scholar?cites=16113343566968938801&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:50,,10.1080/1351847X.2015.1048375,,,,,,,66,9.43,17,4,7,The disposition effect is an investment bias where investors hold stocks at a loss longer than stocks at a gain. This bias is associated with poorer investment performance and exhibited …,https://oro.open.ac.uk/44069/1/stoplosses-prepub.pdf,"https://scholar.google.com/scholar?q=related:MWECHZoYnt8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",47
65,V Berthet,The impact of cognitive biases on professionals' decision-making: A review of four occupational areas,2022,Frontiers in Psychology,frontiersin.org,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.802439/full,"https://scholar.google.com/scholar?cites=11209447718724623831&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:50,HTML,10.3389/fpsyg.2021.802439,,,,,,,65,32.5,65,1,2,"The author reviewed the research on the impact of cognitive biases on professionals' decision-making in four occupational areas (management, finance, medicine, and law). Two …",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.802439/full,"https://scholar.google.com/scholar?q=related:193kWk_1j5sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",48
87,"R Dang, AF Bender, MJ Scotto",Women on French corporate board of directors: How do they differ from their male counterparts?,2014,Journal of Applied Business Research,clutejournals.com,https://www.clutejournals.com/index.php/JABR/article/view/8420,"https://scholar.google.com/scholar?cites=2532631767761811580&as_sdt=2005&sciodt=0,5&hl=en",5,07/04/2024 16:19,,,,,,,,,87,8.7,29,3,10,"Our research aims at exploring individuals characteristics of women on Boards in the French context. In the first part of our paper, we discuss the different theoretical frameworks which …",https://www.clutejournals.com/index.php/JABR/article/download/8420/8439,"https://scholar.google.com/scholar?q=related:fPhPoCy3JSMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",49
69,"A Kouaib, A Jarboui",Real earnings management in innovative firms: does CEO profile make a difference?,2016,Journal of Behavioral and Experimental Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214635016300417,"https://scholar.google.com/scholar?cites=1200572806554417270&as_sdt=2005&sciodt=0,5&hl=en",3,07/04/2024 16:19,,,,,,,,,69,8.63,35,2,8,The purpose of this paper is to determine and test the effect of CEO profile including behavioral biases and demographic traits on the level of real-based earnings management …,,"https://scholar.google.com/scholar?q=related:dnirTZtKqRAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",50
45,"M Akbar, S Hussain, T Ahmad, S Hassan",Corporate governance and firm performance in Pakistan: Dynamic panel estimation,2020,,open-access.bcu.ac.uk,https://www.open-access.bcu.ac.uk/10371/,"https://scholar.google.com/scholar?cites=16989005374401181668&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 16:19,,,,,,,,,45,11.25,11,4,4,"The purpose of this research is to analyze the association between corporate governance and firm performance. Specifically, it examines the impact of CEO duality on board …",https://www.open-access.bcu.ac.uk/10371/1/20201109_Akbar_et_al_CAFE_6_Corporate%20Governance%20and%20Firm%20Performance%20in%20Pakistan.pdf,"https://scholar.google.com/scholar?q=related:5HdiXGASxesJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",51
73,"M Brière, A Szafarz",Does commercial microfinance belong to the financial sector? Lessons from the stock market,2015,World Development,Elsevier,https://www.sciencedirect.com/science/article/pii/S0305750X14003015,"https://scholar.google.com/scholar?cites=16394399537167892247&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:20,,,,,,,,,73,8.11,37,2,9,This paper is the first to draw a global picture of worldwide microfinance equity by taking full advantage of daily quoted prices. We revisit previous findings showing that investors should …,https://hal.science/hal-01491987/document,"https://scholar.google.com/scholar?q=related:F3-4joSbhOMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",52
58,GB Koumou,Diversification and portfolio theory: a review,2020,Financial Markets and Portfolio Management,Springer,https://link.springer.com/article/10.1007/s11408-020-00352-6,"https://scholar.google.com/scholar?cites=10035448504181257239&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:20,,10.1007/s11408-020-00352-6,,,,,,,58,14.5,58,1,4,"Diversification is one of the major components of investment decision-making under risk or uncertainty. However, paradoxically, as the 2007–2009 financial crisis revealed, the concept …",,"https://scholar.google.com/scholar?q=related:F_RylT4TRYsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",53
20,"M Briere, A Szafarz",Factor investing: The rocky road from long-only to long-short,2017,Factor Investing,Elsevier,https://www.sciencedirect.com/science/article/pii/B9781785482014500027,"https://scholar.google.com/scholar?cites=15458596644944809558&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:20,,,,,,,,,20,2.86,10,2,7,Factor investing has emerged from the asset management world as the new paradigm for long-term investment. It attracted fresh interest after the publication of a report on active …,https://www.researchgate.net/profile/Ariane-Szafarz/publication/314949628_Factor_Investing_The_Rocky_Road_from_Long_Only_to_Long_Short/links/598b780b0f7e9b07d21f6906/Factor-Investing-The-Rocky-Road-from-Long-Only-to-Long-Short.pdf,"https://scholar.google.com/scholar?q=related:Vg770773h9YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5",54
